Train Dataset,Anomaly Dataset,Inference time,tn,fp,fn,tp,Precision,Recall,F1-Score,Threshold
hand_landmarking_rpi.csv,face_detection.csv,0.04468941688537598,1,0,0,1,1.0,1.0,1.0,0.4310077432398148
hand_landmarking_rpi.csv,face_detection_rpi.csv,0.044045209884643555,1,0,0,1,1.0,1.0,1.0,0.4553232903295325
hand_landmarking_rpi.csv,face_landmarking.csv,0.04575395584106445,1,0,0,1,1.0,1.0,1.0,0.45455074487737623
hand_landmarking_rpi.csv,face_landmarking_rpi.csv,0.0450592041015625,1,0,0,1,1.0,1.0,1.0,0.46778258998415867
hand_landmarking_rpi.csv,gesture_recognition.csv,0.0435636043548584,1,0,0,1,1.0,1.0,1.0,0.4736485201653445
hand_landmarking_rpi.csv,gesture_recognition_rpi.csv,0.04614520072937012,1,0,0,1,1.0,1.0,1.0,0.4618639124050979
hand_landmarking_rpi.csv,hand_landmarking.csv,0.04450225830078125,1,0,0,1,1.0,1.0,1.0,0.48574129627903295
hand_landmarking_rpi.csv,idle1.csv,0.045943498611450195,1,0,0,1,1.0,1.0,1.0,0.45950163658489396
hand_landmarking_rpi.csv,idle2.csv,0.044196128845214844,1,0,0,1,1.0,1.0,1.0,0.4239687866142399
hand_landmarking_rpi.csv,object_detection.csv,0.05301856994628906,1,0,0,1,1.0,1.0,1.0,0.4632778257335995
hand_landmarking_rpi.csv,object_detection_rpi.csv,0.04495954513549805,1,0,0,1,1.0,1.0,1.0,0.4247513451763868
hand_landmarking_rpi.csv,pose_landmarking.csv,0.05007767677307129,1,0,0,1,1.0,1.0,1.0,0.5252667420744143
hand_landmarking_rpi.csv,pose_landmarking_rpi.csv,0.04924631118774414,1,0,0,1,1.0,1.0,1.0,0.4784754683550495
idle1.csv,audio_classification.csv,0.04404449462890625,1,0,0,1,1.0,1.0,1.0,0.3941674681981019
idle1.csv,audio_classification_rpi.csv,0.04605507850646973,1,0,0,1,1.0,1.0,1.0,0.4594740250834193
idle1.csv,face_detection.csv,0.045092105865478516,1,0,0,1,1.0,1.0,1.0,0.4444623663342513
idle1.csv,face_detection_rpi.csv,0.04469585418701172,1,0,0,1,1.0,1.0,1.0,0.4228850378273542
idle1.csv,face_landmarking.csv,0.049126386642456055,1,0,0,1,1.0,1.0,1.0,0.39301626997609923
idle1.csv,face_landmarking_rpi.csv,0.04856705665588379,1,0,0,1,1.0,1.0,1.0,0.4724646285267513
idle1.csv,gesture_recognition.csv,0.04607081413269043,1,0,0,1,1.0,1.0,1.0,0.44726830279273433
idle1.csv,gesture_recognition_rpi.csv,0.04664754867553711,1,0,0,1,1.0,1.0,1.0,0.45031447793059776
idle1.csv,hand_landmarking.csv,0.04602980613708496,1,0,0,1,1.0,1.0,1.0,0.5278499562700708
idle1.csv,hand_landmarking_rpi.csv,0.04605507850646973,1,0,0,1,1.0,1.0,1.0,0.5163094936010694
idle1.csv,idle2.csv,0.045738935470581055,1,0,0,1,1.0,1.0,1.0,0.4116195080987122
idle1.csv,object_detection.csv,0.04507255554199219,1,0,0,1,1.0,1.0,1.0,0.40080490760946386
idle1.csv,object_detection_rpi.csv,0.04475879669189453,1,0,0,1,1.0,1.0,1.0,0.40908329348604433
idle1.csv,pose_landmarking.csv,0.045549631118774414,1,0,0,1,1.0,1.0,1.0,0.4299369108305188
idle1.csv,pose_landmarking_rpi.csv,0.04570269584655762,1,0,0,1,1.0,1.0,1.0,0.4170141864971356
idle2.csv,audio_classification.csv,0.04762077331542969,1,0,0,1,1.0,1.0,1.0,0.5142143461024733
idle2.csv,audio_classification_rpi.csv,0.044648170471191406,1,0,0,1,1.0,1.0,1.0,0.47688046182924154
idle2.csv,face_detection.csv,0.04557633399963379,1,0,0,1,1.0,1.0,1.0,0.4417414234575688
idle2.csv,face_detection_rpi.csv,0.0504908561706543,1,0,0,1,1.0,1.0,1.0,0.49058869154234525
idle2.csv,face_landmarking.csv,0.05072331428527832,1,0,0,1,1.0,1.0,1.0,0.5068257560260534
idle2.csv,face_landmarking_rpi.csv,0.045831918716430664,1,0,0,1,1.0,1.0,1.0,0.4730400296341207
idle2.csv,gesture_recognition.csv,0.05231046676635742,1,0,0,1,1.0,1.0,1.0,0.4839354923178376
idle2.csv,gesture_recognition_rpi.csv,0.051221609115600586,1,0,0,1,1.0,1.0,1.0,0.4560825822403459
idle2.csv,hand_landmarking.csv,0.047199249267578125,1,0,0,1,1.0,1.0,1.0,0.47218976892723835
idle2.csv,hand_landmarking_rpi.csv,0.04757881164550781,1,0,0,1,1.0,1.0,1.0,0.4273170375861026
idle2.csv,idle1.csv,0.044037818908691406,1,0,0,1,1.0,1.0,1.0,0.4209942551126437
idle2.csv,object_detection.csv,0.04314613342285156,1,0,0,1,1.0,1.0,1.0,0.43687058891279895
idle2.csv,object_detection_rpi.csv,0.04759073257446289,1,0,0,1,1.0,1.0,1.0,0.41449638502295016
idle2.csv,pose_landmarking.csv,0.04602169990539551,1,0,0,1,1.0,1.0,1.0,0.4467131283698766
idle2.csv,pose_landmarking_rpi.csv,0.0471348762512207,1,0,0,1,1.0,1.0,1.0,0.43804235984391643
object_detection.csv,audio_classification.csv,0.045037031173706055,1,0,0,1,1.0,1.0,1.0,0.39917186191238735
object_detection.csv,audio_classification_rpi.csv,0.04560685157775879,1,0,0,1,1.0,1.0,1.0,0.4511336594312637
object_detection.csv,face_detection.csv,0.04857373237609863,1,0,0,1,1.0,1.0,1.0,0.39917186191238735
object_detection.csv,face_detection_rpi.csv,0.04926896095275879,1,0,0,1,1.0,1.0,1.0,0.4959925733050499
object_detection.csv,face_landmarking.csv,0.05002713203430176,1,0,0,1,1.0,1.0,1.0,0.4511336594312637
object_detection.csv,face_landmarking_rpi.csv,0.045035600662231445,1,0,0,1,1.0,1.0,1.0,0.4143877017158848
object_detection.csv,gesture_recognition.csv,0.04505181312561035,1,0,0,1,1.0,1.0,1.0,0.6877400522829131
object_detection.csv,gesture_recognition_rpi.csv,0.04503965377807617,1,0,0,1,1.0,1.0,1.0,0.4487634008625037
object_detection.csv,hand_landmarking.csv,0.0449066162109375,1,0,0,1,1.0,1.0,1.0,0.44151757299176947
object_detection.csv,hand_landmarking_rpi.csv,0.04307723045349121,1,0,0,1,1.0,1.0,1.0,0.4271570617918965
object_detection.csv,idle1.csv,0.04644012451171875,1,0,0,1,1.0,1.0,1.0,0.3860889017721941
object_detection.csv,idle2.csv,0.04658317565917969,1,0,0,1,1.0,1.0,1.0,0.418854577860238
object_detection.csv,object_detection_rpi.csv,0.045369625091552734,1,0,0,1,1.0,1.0,1.0,0.4044415822602725
object_detection.csv,pose_landmarking.csv,0.04605913162231445,1,0,0,1,1.0,1.0,1.0,0.48723055641991836
object_detection.csv,pose_landmarking_rpi.csv,0.047064781188964844,1,0,0,1,1.0,1.0,1.0,0.4080943480478574
object_detection_rpi.csv,audio_classification.csv,0.04757428169250488,1,0,0,1,1.0,1.0,1.0,0.41984385212664016
object_detection_rpi.csv,audio_classification_rpi.csv,0.04507327079772949,1,0,0,1,1.0,1.0,1.0,0.498608715082755
object_detection_rpi.csv,face_detection.csv,0.04462289810180664,1,0,0,1,1.0,1.0,1.0,0.4970832671802391
object_detection_rpi.csv,face_detection_rpi.csv,0.04504036903381348,1,0,0,1,1.0,1.0,1.0,0.4040850603427321
object_detection_rpi.csv,face_landmarking.csv,0.04450106620788574,1,0,0,1,1.0,1.0,1.0,0.39007677434920496
object_detection_rpi.csv,face_landmarking_rpi.csv,0.04456639289855957,1,0,0,1,1.0,1.0,1.0,0.41743705874065423
object_detection_rpi.csv,gesture_recognition.csv,0.04445290565490723,1,0,0,1,1.0,1.0,1.0,0.3896882378198255
object_detection_rpi.csv,gesture_recognition_rpi.csv,0.04503679275512695,1,0,0,1,1.0,1.0,1.0,0.4366845589149209
object_detection_rpi.csv,hand_landmarking.csv,0.04355430603027344,1,0,0,1,1.0,1.0,1.0,0.4341388391630511
object_detection_rpi.csv,hand_landmarking_rpi.csv,0.044587135314941406,1,0,0,1,1.0,1.0,1.0,0.4090013489107542
object_detection_rpi.csv,idle1.csv,0.0446319580078125,1,0,0,1,1.0,1.0,1.0,0.46544875251453954
object_detection_rpi.csv,idle2.csv,0.0435636043548584,1,0,0,1,1.0,1.0,1.0,0.4128562519528084
object_detection_rpi.csv,object_detection.csv,0.0435333251953125,1,0,0,1,1.0,1.0,1.0,0.4146541450581815
object_detection_rpi.csv,pose_landmarking.csv,0.04362177848815918,1,0,0,1,1.0,1.0,1.0,0.5853210255753464
object_detection_rpi.csv,pose_landmarking_rpi.csv,0.04468488693237305,1,0,0,1,1.0,1.0,1.0,0.4793557066977006
pose_landmarking.csv,audio_classification.csv,0.04355740547180176,1,0,0,1,1.0,1.0,1.0,0.42162478661586544
pose_landmarking.csv,audio_classification_rpi.csv,0.04875922203063965,1,0,0,1,1.0,1.0,1.0,0.37941821426328887
pose_landmarking.csv,face_detection.csv,0.04710102081298828,1,0,0,1,1.0,1.0,1.0,0.36631900451883304
pose_landmarking.csv,face_detection_rpi.csv,0.0493161678314209,1,0,0,1,1.0,1.0,1.0,0.5310322345522659
pose_landmarking.csv,face_landmarking.csv,0.048980712890625,1,0,0,1,1.0,1.0,1.0,0.4279652506057019
pose_landmarking.csv,face_landmarking_rpi.csv,0.0485990047454834,1,0,0,1,1.0,1.0,1.0,0.4135510298938896
pose_landmarking.csv,gesture_recognition.csv,0.04685401916503906,1,0,0,1,1.0,1.0,1.0,0.4400568610846628
pose_landmarking.csv,gesture_recognition_rpi.csv,0.0461735725402832,1,0,0,1,1.0,1.0,1.0,0.40059660806205666
pose_landmarking.csv,hand_landmarking.csv,0.04857039451599121,1,0,0,1,1.0,1.0,1.0,0.42333733399713647
pose_landmarking.csv,hand_landmarking_rpi.csv,0.04466605186462402,1,0,0,1,1.0,1.0,1.0,0.43321382939846353
pose_landmarking.csv,idle1.csv,0.04556393623352051,1,0,0,1,1.0,1.0,1.0,0.4156930306797385
pose_landmarking.csv,idle2.csv,0.04609251022338867,1,0,0,1,1.0,1.0,1.0,0.42787530650549055
pose_landmarking.csv,object_detection.csv,0.04404330253601074,1,0,0,1,1.0,1.0,1.0,0.4640851260840447
pose_landmarking.csv,object_detection_rpi.csv,0.044193267822265625,1,0,0,1,1.0,1.0,1.0,0.4185801169704811
pose_landmarking.csv,pose_landmarking_rpi.csv,0.04556417465209961,1,0,0,1,1.0,1.0,1.0,0.4511022314381669
pose_landmarking_rpi.csv,audio_classification.csv,0.0480804443359375,1,0,0,1,1.0,1.0,1.0,0.48394160767968974
pose_landmarking_rpi.csv,audio_classification_rpi.csv,0.0450434684753418,1,0,0,1,1.0,1.0,1.0,0.43967336656948314
pose_landmarking_rpi.csv,face_detection.csv,0.045316457748413086,1,0,0,1,1.0,1.0,1.0,0.4736239949967203
pose_landmarking_rpi.csv,face_detection_rpi.csv,0.045575618743896484,1,0,0,1,1.0,1.0,1.0,0.4281178011380769
