hand_landmarking_rpi_mem.committed_Committed_AS,hand_landmarking_rpi_system.active_processes_active,hand_landmarking_rpi_system.cpu_user,hand_landmarking_rpi_system.file_nr_used_used,hand_landmarking_rpi_system.processes_running,hand_landmarking_rpi_system.ram_buffers,hand_landmarking_rpi_system.ram_cached,hand_landmarking_rpi_system.ram_free,hand_landmarking_rpi_system.ram_used,Target
3204.262,423,71.64557,4352,5,1.2265625,108.73047,308.168,489.0039,3
3204.262,423,69.89796,4352,13,1.2265625,108.73047,307.7578,489.4141,3
3204.262,423,69.46565,4352,13,1.2265625,108.73047,306.3086,490.8633,3
3204.262,423,68.93939,4352,14,1.2265625,108.73047,308.6992,488.4727,3
3204.262,423,72.61307,4352,20,1.2265625,108.73047,308.1094,489.0625,3
3204.262,423,71.86701,4352,10,1.2265625,108.73047,309.1172,488.0547,3
3204.262,423,71.46465,4352,13,1.2265625,108.73047,305.5352,491.6367,3
3204.262,423,70.73791,4352,8,1.2265625,108.73047,304.5977,492.5742,3
3204.262,424,70.81218,4352,12,1.2265625,108.73047,303.5312,493.6406,3
3204.262,424,70.1005,4352,7,1.2265625,108.73047,310.4531,486.7188,3
3204.262,424,70.63291,4320,16,1.2265625,108.71484,305.2695,491.918,3
3204.262,424,72.70408,4352,12,1.2265625,108.71484,307.0,490.1875,3
3204.262,424,71.61125,4352,17,1.2265625,108.71484,306.957,490.2305,3
3204.262,424,75.0,4352,10,1.234375,108.71484,308.8672,488.3203,3
3204.262,424,70.48346,4352,11,1.2421875,108.70703,309.7695,487.418,3
3204.262,424,72.01018,4352,10,1.2421875,108.70703,305.1484,492.0312,3
3204.262,424,70.20202,4352,8,1.2421875,108.71484,317.7773,479.3945,3
3204.262,424,67.25888,4352,14,1.2421875,108.71484,312.0352,485.1367,3
3204.262,424,72.1519,4352,9,1.2421875,108.71484,317.1367,480.0352,3
3204.262,424,68.17043,4352,9,1.2421875,108.71484,317.0625,480.1094,3
3204.262,424,66.75063,4352,15,1.2421875,108.71484,312.3203,484.8516,3
3204.262,424,64.3038,4352,10,1.2421875,108.71484,309.1484,488.0234,3
3204.262,424,61.61616,4352,10,1.2421875,108.71484,315.3633,481.8086,3
3204.262,424,58.64662,4352,16,1.2421875,108.69922,314.6836,482.5039,3
3204.262,424,65.3944,4352,12,1.2421875,108.69922,319.8828,477.3047,3
3204.262,424,76.66667,4352,12,1.2421875,108.69922,315.0469,482.1406,3
3204.262,422,71.02564,4352,12,1.2421875,108.69922,315.4414,481.7461,3
3205.047,423,72.84264,4352,13,1.2421875,108.69922,315.0156,482.1719,3
3204.262,422,70.80103,4352,11,1.2460938,108.69922,315.8789,481.3086,3
3204.262,422,70.55838,4352,7,1.2460938,108.67969,313.3633,483.8398,3
3204.262,422,72.12276,4352,9,1.2460938,108.68359,311.9102,485.2891,3
3204.262,422,73.60406,4352,13,1.2460938,108.75,323.3242,473.8086,3
3204.262,422,72.1519,4352,11,1.2460938,108.75,320.2344,476.8984,3
3204.262,422,72.70408,4352,12,1.2460938,108.75,320.7695,476.3633,3
3204.262,422,70.05076,4352,8,1.2460938,108.75,315.168,481.9648,3
3204.262,422,73.00771,4352,14,1.2460938,108.75,318.5703,478.5625,3
3204.262,422,68.51385,4352,14,1.2460938,108.75,323.6094,473.5234,3
3204.262,422,70.30457,4352,14,1.2460938,108.75,318.8516,478.2812,3
3207.262,427,72.12276,4352,13,1.7148439999999998,108.75,319.7383,477.3945,3
3204.262,424,68.95674,4352,11,1.7148439999999998,120.39844,307.2148,477.8008,3
3204.262,424,65.32663,4352,15,1.7148439999999998,121.01953,307.9609,476.4336,3
3204.262,424,72.40506,4352,9,1.7148439999999998,121.12109,302.6602,481.6328,3
3204.262,424,71.75573,4352,9,1.7148439999999998,121.12109,303.2617,481.0312,3
3204.262,424,75.31172,4352,9,1.722656,121.12109,300.2305,484.0625,3
3204.262,423,71.42857,4352,13,1.722656,121.11328,302.9258,481.3672,3
3204.262,423,68.93939,4352,12,1.722656,121.12109,308.5391,475.7461,3
3204.262,423,71.17347,4352,11,1.722656,121.12109,304.0273,480.2578,3
3204.262,423,71.39241,4352,17,1.722656,121.12109,301.7852,482.5,3
3204.262,423,71.5736,4352,18,1.722656,121.12109,308.1484,476.1367,3
3204.262,423,68.26196,4352,13,1.722656,121.12109,303.5508,480.7344,3
3204.262,423,72.0403,4352,12,1.722656,121.12109,306.4727,477.8125,3
3204.262,423,67.75819,4352,13,1.722656,121.12109,301.9141,482.3711,3
3204.262,423,63.31658,4352,9,1.734375,121.12109,300.3828,483.9023,3
3204.262,423,58.0,4352,12,1.734375,121.26562,309.3203,474.8086,3
3204.262,423,63.86768,4352,12,1.734375,121.26953,303.8008,480.3242,3
3204.262,423,70.43702,4352,8,1.734375,121.26953,305.2461,478.8789,3
3204.277,423,70.37975,4352,11,1.734375,121.26953,305.6758,478.4492,3
3204.262,423,74.62312,4352,18,1.734375,121.26953,307.3086,476.8164,3
3204.262,423,73.21429,4352,8,1.742188,121.26953,304.6875,479.4375,3
3204.262,423,70.9596,4352,14,1.742188,121.26172,313.3086,470.8164,3
3204.262,423,70.84399,4352,11,1.742188,121.26953,308.7578,475.3594,3
3204.262,423,69.30946,4352,11,1.742188,121.26953,306.4883,477.6289,3
3204.277,423,71.53652,4352,17,1.742188,121.26953,306.3359,477.7812,3
3204.262,423,71.3555,4352,15,1.742188,121.26953,307.3281,476.7891,3
3204.262,423,71.3198,4352,12,1.742188,121.26953,306.668,477.4492,3
3204.262,423,72.70408,4352,10,1.742188,121.26953,309.1406,474.9766,3
3204.262,423,67.92929,4352,10,1.742188,121.26953,306.8945,477.2227,3
3204.277,423,69.44444,4352,13,1.742188,121.26953,308.1641,475.9531,3
3204.262,423,69.62025,4352,17,1.742188,121.26953,305.1055,479.0117,3
3204.262,423,70.66327,4352,11,1.742188,121.26953,305.75,478.3672,3
3204.262,423,74.29306,4352,7,1.742188,121.26953,308.0977,476.0195,3
3207.621,423,70.70707,4352,12,1.742188,121.26953,312.8398,471.2773,3
3207.621,424,72.05128,4320,13,1.742188,121.26953,308.207,475.9102,3
3207.621,424,74.80916,4320,14,1.742188,121.26953,313.1562,470.9609,3
3207.621,424,74.8731,4320,13,1.742188,121.26953,305.9531,478.1641,3
3207.621,424,68.52792,4320,12,1.742188,121.26953,305.4883,478.6289,3
3207.621,424,72.01018,4320,9,1.742188,121.26953,303.5547,480.5625,3
3207.621,424,74.23469,4320,11,1.742188,121.26953,309.4961,474.6211,3
3207.621,424,69.84925,4320,11,1.6015625,121.26953,304.7461,479.3711,3
3207.621,424,71.21212,4320,13,1.6015625,120.3125,311.2031,474.0117,3
3207.621,424,68.86076,4320,18,1.6015625,120.3125,310.793,474.4219,3
3207.621,424,66.83292,4320,11,1.6015625,120.3125,310.5117,474.7031,3
3207.621,424,68.27411,4320,15,1.6015625,120.3125,312.2227,472.9922,3
3207.621,424,64.57286,4320,16,1.6015625,120.3125,307.3555,477.8594,3
3207.621,424,62.0603,4320,11,1.5429688,120.3125,308.1289,477.0859,3
3208.582,427,61.34663,4320,13,1.5429688,119.54297,316.0938,469.9492,3
3207.621,424,65.57789,4320,17,1.5429688,119.55469,310.9219,475.1094,3
3207.621,424,72.70408,4320,9,1.5429688,119.58203,315.5234,470.4805,3
3207.621,424,71.79487,4320,12,1.5429688,119.58203,311.7656,474.2383,3
3207.621,424,71.03275,4320,12,1.5429688,119.58203,311.1484,474.8555,3
3207.621,425,73.5369,4320,11,1.5429688,119.58203,312.543,473.4609,3
3207.621,425,71.75573,4320,13,1.5429688,119.65234,307.7422,478.1914,3
3207.621,425,71.64557,4320,9,1.5429688,119.65234,309.6016,476.332,3
3207.637,425,69.56522,4320,13,1.5429688,119.65234,310.293,475.6406,3
3207.621,425,72.11055,4320,10,1.5429688,119.66797,307.7891,478.1289,3
3207.621,425,72.08122,4320,10,1.5429688,119.66797,313.2539,472.6641,3
3207.621,425,72.19388,4320,11,1.5429688,119.66797,308.6094,477.3086,3
3207.621,425,72.61307,4320,10,1.5429688,119.66797,309.0625,476.8555,3
3207.621,425,75.0,4320,12,1.5585938,119.66797,308.9492,476.9688,3
3207.621,425,71.39241,4320,17,1.5585938,119.66797,307.1914,478.7109,3
3207.621,425,73.60406,4320,12,1.5585938,119.72266,308.0898,477.7578,3
3207.621,425,73.21429,4320,7,1.5585938,119.72266,307.8789,477.9688,3
3207.637,425,75.2551,4320,8,1.5585938,119.72266,313.7695,472.0781,3
3207.621,426,68.95674,4320,16,1.5585938,119.72266,308.5547,477.293,3
3207.621,426,71.53846,4320,11,1.5664062,119.72266,304.918,480.9297,3
3207.621,426,71.64557,4320,10,1.5664062,119.72266,306.8789,478.9609,3
3207.621,425,68.46154,4320,9,1.5664062,119.72266,308.5391,477.3008,3
3207.637,425,73.14578,4320,14,1.5664062,119.72266,305.3203,480.5195,3
3207.637,425,68.01008,4320,11,1.5664062,119.72266,317.9258,467.9141,3
3207.621,425,73.04786,4320,10,1.5664062,119.72266,319.4531,466.3867,3
3207.621,425,70.9596,4320,11,1.5664062,119.70703,314.1133,471.7422,3
3207.621,425,71.39241,4320,8,1.5664062,119.70703,311.6523,474.2031,3
3207.637,425,70.92732,4320,8,1.5664062,119.70703,316.0195,469.8359,3
3207.621,425,67.00508,4320,9,1.5820312,119.70703,315.3242,470.5312,3
3207.621,425,67.17172,4320,14,1.5820312,119.71094,310.25,475.5859,3
3207.621,425,63.25,4320,11,1.5820312,119.71094,309.8086,476.0273,3
3207.621,425,60.90226,4352,11,1.5820312,119.71094,309.5625,476.2734,3
3207.621,425,61.05528,4352,9,1.5820312,119.71094,310.7695,475.0664,3
