face_detection_rpi_mem.committed_Committed_AS,face_detection_rpi_system.active_processes_active,face_detection_rpi_system.cpu_user,face_detection_rpi_system.file_nr_used_used,face_detection_rpi_system.processes_running,face_detection_rpi_system.ram_buffers,face_detection_rpi_system.ram_cached,face_detection_rpi_system.ram_free,face_detection_rpi_system.ram_used,Target
3083.848,424,67.89474,4320,15,2.230469,320.0781,88.43359,496.3867,6
3084.727,424,67.69231,4320,8,2.230469,320.0781,87.46484,497.3555,6
3084.727,424,68.71795,4320,11,2.230469,320.0781,84.48438,500.3359,6
3084.742,423,68.29897,4320,12,2.230469,320.0781,86.07422,498.7461,6
3083.848,423,67.94872,4320,13,2.230469,320.0781,87.61719,497.2031,6
3082.969,423,68.34171,4320,8,2.230469,320.0781,88.94922,495.8711,6
3084.727,423,69.84536,4320,11,2.230469,320.0781,85.06641,499.7539,6
3083.848,422,68.5567,4320,6,2.230469,320.0781,84.92969,499.8906,6
3083.848,422,67.4359,4320,15,2.230469,320.0781,88.48047,496.3398,6
3083.848,422,66.49485,4320,14,2.230469,320.0781,88.23438,496.5859,6
3082.969,422,68.38046,4320,8,2.230469,320.0781,85.75781,499.0625,6
3083.848,422,66.15385,4320,11,2.230469,320.0781,81.42969,503.3906,6
3082.969,422,67.59494,4320,10,2.238281,320.0781,84.89844,499.9141,6
3083.848,422,66.32911,4320,13,2.238281,320.0781,82.39844,502.4141,6
3084.727,422,67.09512,4320,10,2.238281,320.0781,83.88281,500.9297,6
3084.727,422,69.79695,4320,13,2.238281,320.0781,84.67188,500.1406,6
3083.848,422,66.75258,4320,15,2.238281,320.0781,83.98438,500.8281,6
3084.371,422,65.80977,4320,10,2.238281,320.0781,81.21484,503.5977,6
3084.727,422,65.30612,4320,9,2.238281,320.0781,86.63672,498.1758,6
3082.09,423,65.90909,4320,16,2.238281,320.0781,87.13672,497.6758,6
3083.848,422,64.89899,4320,11,2.246094,320.0781,85.98047,498.8242,6
3083.848,422,68.35443,4320,9,2.246094,320.0781,89.05859,495.7461,6
3082.969,422,65.57789,4320,16,2.246094,320.0781,87.89453,496.9102,6
3083.848,422,66.07595,4320,6,2.246094,320.0781,85.65234,499.1523,6
3083.789,422,62.87879,4320,14,2.246094,320.0781,81.50781,503.2969,6
3083.789,422,58.0402,4320,14,2.246094,320.1992,83.58203,501.1016,6
3083.789,422,55.08685,4320,13,2.246094,320.1992,86.3125,498.3711,6
3083.848,422,61.0687,4320,11,2.246094,320.1992,87.69531,496.9883,6
3083.848,422,68.71795,4352,9,2.246094,320.1992,85.59766,499.0859,6
3083.863,422,65.73604,4352,8,2.246094,320.1992,83.38281,501.3008,6
3082.09,422,65.72165,4352,9,2.246094,320.1992,91.66406,493.0195,6
3083.848,422,65.72165,4352,7,2.246094,320.1992,84.63672,500.0469,6
3083.789,422,67.93893,4352,13,2.246094,320.1992,84.54688,500.1367,6
3083.789,422,67.88512,4352,8,2.246094,320.1992,84.54688,500.1367,6
3082.969,422,66.75192,4352,20,2.246094,320.1992,85.64453,499.0391,6
3082.969,422,68.13472,4384,11,2.246094,320.1992,86.33594,498.3477,6
3083.848,422,66.32653,4384,6,2.246094,320.1992,85.34766,499.3359,6
3083.848,422,66.75258,4384,8,2.246094,320.1992,90.67578,494.0078,6
3083.848,422,65.56122,4384,11,2.246094,320.1992,84.05859,500.625,6
3082.91,422,65.21739,4384,13,2.246094,320.1992,85.85156,498.832,6
3084.668,421,67.34694,4384,7,2.246094,320.1836,81.54688,503.1523,6
3083.863,421,67.70026,4384,15,2.246094,320.1836,85.26172,499.4375,6
3083.848,421,64.01028,4384,13,2.246094,320.1836,85.73438,498.9648,6
3083.848,421,68.29897,4384,19,2.246094,320.1836,89.58203,495.1172,6
3083.848,421,68.11224,4384,11,2.246094,320.1836,86.35547,498.3438,6
