audio_classification_rpi_mem.committed_Committed_AS,audio_classification_rpi_system.active_processes_active,audio_classification_rpi_system.cpu_user,audio_classification_rpi_system.file_nr_used_used,audio_classification_rpi_system.processes_running,audio_classification_rpi_system.ram_buffers,audio_classification_rpi_system.ram_cached,audio_classification_rpi_system.ram_free,audio_classification_rpi_system.ram_used,Target
3177.258,434,11.586902,4576,3,2.070312,249.4609,142.76172,512.8359,5
3177.258,434,14.111922,4576,2,2.070312,249.4609,142.76172,512.8359,5
3177.258,434,11.917098,4576,2,2.070312,249.4609,142.76172,512.8359,5
3177.258,434,10.539846,4576,6,2.070312,249.4609,142.76172,512.8359,5
3177.258,434,8.854167,4576,2,2.078125,249.4609,142.76172,512.8281,5
3177.258,434,10.025707,4576,2,2.078125,249.4609,142.76172,512.8281,5
3177.258,434,11.450382,4576,2,2.078125,249.4609,142.52734,513.0625,5
3177.258,434,12.658228,4576,2,2.078125,249.4766,142.52734,513.0469,5
3177.258,434,11.363636,4576,2,2.078125,249.4766,142.52734,513.0469,5
3177.258,434,8.5,4576,2,2.078125,249.4766,142.52734,513.0469,5
3177.258,434,11.025641,4576,4,2.078125,249.4766,142.52734,513.0469,5
3177.258,434,11.616162,4576,5,2.078125,249.4766,142.52734,513.0469,5
3177.258,434,12.09068,4576,6,2.078125,249.4766,142.52734,513.0469,5
3177.258,432,12.878788,4576,4,2.078125,249.4766,142.52734,513.0469,5
3177.258,432,12.5,4576,3,2.078125,249.4766,142.52734,513.0469,5
3177.258,432,11.029412,4576,3,2.078125,249.4766,142.52734,513.0469,5
3177.258,432,12.408759,4576,4,2.078125,249.4766,142.52734,513.0469,5
3177.258,432,11.369509,4576,5,2.078125,249.9766,142.03516,513.0391,5
3177.258,432,13.624679,4576,5,2.078125,249.9766,142.03516,513.0391,5
3177.258,432,9.873418,4576,5,2.078125,249.9766,142.03516,513.0391,5
3177.258,432,15.270936,4576,3,2.078125,249.9766,141.78906,513.2852,5
3177.258,432,12.030075,4576,5,2.078125,249.9766,141.78906,513.2852,5
3177.258,432,12.0,4576,4,2.085938,249.9766,141.98438,513.082,5
3177.258,432,15.061728,4576,4,2.085938,249.9766,141.54297,513.5234,5
3177.258,432,11.083123,4576,4,2.085938,249.9766,141.54297,513.5234,5
3177.258,432,9.71867,4576,4,2.085938,249.9766,141.54297,513.5234,5
3177.258,432,9.585492,4576,5,2.085938,249.9766,141.54297,513.5234,5
3177.258,432,11.881188,4576,3,2.085938,250.3203,141.05078,513.6719,5
3177.258,432,13.432836,4576,4,2.085938,250.3203,140.80469,513.918,5
3177.258,432,13.054187,4576,3,2.085938,250.3203,140.80469,513.918,5
3177.258,432,12.903226,4576,4,2.085938,250.4453,140.55859,514.0391,5
3177.258,432,11.138614,4576,4,2.085938,250.4453,140.55859,514.0391,5
3177.258,432,10.909091,4576,4,2.09375,250.4453,140.3125,514.2773,5
3177.258,432,10.335917,4576,4,2.09375,250.4453,140.3125,514.2773,5
3177.258,432,10.309278,4576,2,2.09375,250.4453,140.06641,514.5234,5
3177.258,432,10.526316,4576,2,2.09375,250.4453,140.01562,514.5742,5
3177.258,432,12.437811,4576,2,2.09375,250.4453,139.82031,514.7695,5
3177.258,432,14.705882,4576,2,2.09375,250.4453,139.82031,514.7695,5
3177.258,432,11.98044,4576,2,2.09375,250.4453,139.83203,514.7578,5
3177.258,432,13.367609,4576,3,2.09375,250.4453,139.83203,514.7578,5
3177.258,433,10.941476,4576,4,2.101562,250.4453,139.33984,515.2422,5
3177.258,433,10.309278,4576,2,2.101562,251.3242,138.55078,515.1523,5
3177.258,433,11.22449,4576,2,2.101562,251.3711,138.10938,515.5469,5
3177.258,433,13.151365,4576,3,2.101562,251.3711,138.10938,515.5469,5
3177.258,433,14.713217,4576,2,2.101562,251.3711,138.10938,515.5469,5
3177.258,433,11.386139,4576,3,2.101562,251.3711,138.10938,515.5469,5
3177.258,433,13.170732,4576,2,2.109375,251.3711,138.10938,515.5391,5
3177.258,433,10.769231,4576,2,2.109375,251.3711,138.10938,515.5391,5
3177.738,434,11.538462,4576,2,2.109375,251.3711,138.10938,515.5391,5
3177.738,434,11.479592,4576,3,2.109375,251.3711,138.10938,515.5391,5
3177.738,434,13.670886,4576,2,2.109375,251.3711,138.10938,515.5391,5
3177.738,434,13.399504,4576,2,2.109375,251.3711,138.10938,515.5391,5
3177.738,434,13.18408,4576,2,2.109375,251.3711,138.10938,515.5391,5
3177.738,434,11.302211,4576,2,2.109375,251.3711,138.10938,515.5391,5
3177.738,434,12.439024,4576,3,2.109375,251.3711,137.86328,515.7852,5
3177.738,434,17.97468,4576,4,2.109375,251.3711,137.86328,515.7852,5
3177.738,434,12.02046,4576,4,2.109375,251.3711,137.61719,516.0312,5
