pose_landmarking_rpi_mem.committed_Committed_AS,pose_landmarking_rpi_system.active_processes_active,pose_landmarking_rpi_system.cpu_user,pose_landmarking_rpi_system.file_nr_used_used,pose_landmarking_rpi_system.processes_running,pose_landmarking_rpi_system.ram_buffers,pose_landmarking_rpi_system.ram_cached,pose_landmarking_rpi_system.ram_free,pose_landmarking_rpi_system.ram_used,Target
3240.039,420,65.26055,4384,14,1.3867188,138.19531,165.12891,602.418,10
3240.039,420,59.28753,4384,13,1.3945312,138.19531,165.11328,602.4258,10
3240.039,420,64.32161,4384,12,1.3945312,138.19531,169.2109,598.3281,10
3240.023,420,67.93893,4384,14,1.3945312,138.19531,164.78516,602.7539,10
3240.023,420,72.72727,4384,11,1.3945312,138.19531,161.01172,606.5273,10
3240.023,420,71.06599,4384,13,1.3945312,138.19531,161.53906,606.0,10
3240.023,420,72.44898,4384,12,1.3945312,138.19531,164.69531,602.8438,10
3240.023,420,69.23077,4384,10,1.3945312,138.19531,161.33203,606.207,10
3240.023,420,71.28205,4384,12,1.3945312,138.19531,163.02734,604.5117,10
3240.023,420,68.38046,4384,12,1.3945312,138.19531,168.582,598.957,10
3240.051,420,68.44784,4384,14,1.3945312,138.19531,167.7734,599.7656,10
3240.051,420,71.5736,4384,7,1.3945312,138.19531,168.5781,598.9609,10
3240.051,420,74.11168,4384,10,1.3945312,138.19531,165.08594,602.4531,10
3240.039,420,71.39241,4384,12,1.3945312,138.19531,161.94141,605.5977,10
3240.039,420,71.09974,4384,11,1.3945312,138.27344,163.02344,604.4375,10
3240.051,420,72.47475,4384,11,1.3945312,138.27344,164.85547,602.6055,10
3240.051,420,72.84264,4384,18,1.3945312,138.27344,164.58984,602.8711,10
3240.051,420,71.35678,4384,14,1.3945312,138.27344,166.38281,601.0781,10
3240.023,420,72.51908,4384,11,1.3945312,138.27344,162.55469,604.9062,10
3240.023,420,72.37852,4384,9,1.3984375,138.26953,159.60938,607.8516,10
3240.023,420,69.97455,4384,16,1.3984375,138.27344,165.25781,602.1992,10
3240.023,420,71.06599,4384,7,1.3984375,138.27344,162.74609,604.7109,10
3240.023,420,72.40506,4384,8,1.3984375,138.27344,164.3125,603.1445,10
3240.039,420,73.68421,4384,8,1.3984375,138.27344,165.85938,601.5977,10
3240.039,420,73.92405,4384,7,1.3984375,138.27344,164.51953,602.9375,10
3240.039,420,71.42857,4384,5,1.3984375,138.27344,165.21875,602.2383,10
3240.039,420,70.1005,4384,15,1.3984375,138.27344,160.30469,607.1523,10
3240.039,420,71.50127,4384,12,1.3984375,138.27344,161.95312,605.5039,10
3240.023,420,68.18182,4384,12,1.3984375,138.27344,165.52734,601.9297,10
3240.023,420,64.89899,4384,11,1.3984375,138.27344,161.53906,605.918,10
3240.023,420,66.00496,4384,13,1.3984375,138.27344,158.19531,609.2617,10
3240.023,420,62.75,4384,9,1.3984375,138.27344,168.5508,598.9062,10
3240.023,420,63.75,4384,13,1.3984375,138.27344,169.6562,597.8008,10
3240.023,420,70.55838,4384,11,1.3984375,138.27344,171.1875,596.2695,10
3240.039,420,72.72727,4384,8,1.4257812,138.26953,171.207,596.2266,10
3240.039,420,69.28934,4384,13,1.4257812,138.28125,169.1992,598.2227,10
3240.062,420,68.60759,4384,15,1.4257812,138.28125,166.49609,600.9258,10
3240.066,420,73.16456,4384,16,1.4257812,138.35547,168.3008,599.0469,10
3240.066,421,70.37975,4384,13,1.4257812,138.35547,164.94922,602.3984,10
3240.066,421,67.33668,4384,14,1.4257812,138.39062,166.65625,600.6562,10
3240.066,421,67.86632,4384,11,1.4257812,138.47656,164.38281,602.8438,10
3240.066,421,69.64286,4384,10,1.4257812,138.47656,167.20312,600.0234,10
3240.066,421,73.18296,4384,13,1.4257812,138.47656,169.9688,597.2578,10
3240.066,421,70.95116,4384,12,1.4257812,138.47656,167.9336,599.293,10
3240.066,421,71.39241,4384,14,1.4257812,138.47656,169.7461,597.4805,10
3240.066,421,73.09645,4384,12,1.4257812,138.47656,165.30859,601.918,10
3240.066,421,69.15167,4384,13,1.4257812,138.47656,167.01172,600.2148,10
3240.066,421,71.53652,4384,12,1.4257812,138.47656,167.9141,599.3125,10
3240.066,421,71.3198,4384,10,1.4257812,138.47656,170.1719,597.0547,10
