gesture_recognition_rpi_mem.committed_Committed_AS,gesture_recognition_rpi_system.active_processes_active,gesture_recognition_rpi_system.cpu_user,gesture_recognition_rpi_system.file_nr_used_used,gesture_recognition_rpi_system.processes_running,gesture_recognition_rpi_system.ram_buffers,gesture_recognition_rpi_system.ram_cached,gesture_recognition_rpi_system.ram_free,gesture_recognition_rpi_system.ram_used,Target
3241.605,428,67.09184,4448,13,9.921875,224.0977,171.3008,501.8086,3
3241.605,428,68.10127,4480,9,9.921875,224.0977,168.7852,504.3242,3
3241.605,428,67.94872,4480,15,9.921875,224.0977,168.1875,504.9219,3
3241.605,428,68.18182,4480,10,9.925781,224.0977,167.03906,506.0703,3
3241.605,428,66.49746,4480,10,9.933594,224.3867,166.57812,506.2383,3
3241.605,428,67.7665,4480,7,9.933594,224.6602,164.99219,507.543,3
3241.605,428,66.0804,4480,12,9.933594,224.6602,169.2656,503.2695,3
3241.605,428,69.0,4480,8,9.933594,224.6602,167.8477,504.6875,3
3241.605,428,62.75,4480,5,9.933594,224.6602,170.7344,501.8008,3
3241.605,428,62.46851,4480,6,9.933594,224.6602,170.0781,502.457,3
3241.605,428,57.10723,4480,6,9.933594,224.6602,168.2773,504.2578,3
3241.605,428,58.54271,4480,11,9.933594,224.6602,166.19531,506.3398,3
3241.605,428,55.27638,4448,14,9.933594,224.6602,165.76172,506.7734,3
3241.605,428,62.34414,4448,10,9.933594,224.6602,168.7773,503.7578,3
3241.605,428,68.71795,4480,12,9.933594,224.6602,165.32812,507.207,3
3241.605,428,64.69072,4480,5,9.933594,224.6602,166.61328,505.9219,3
3241.605,428,67.35751,4480,7,9.933594,224.6602,170.2305,502.3047,3
3241.605,428,65.89147,4448,12,9.933594,224.6602,169.6328,502.9023,3
3241.605,428,68.34171,4448,5,9.933594,224.6602,172.332,500.2031,3
3241.605,428,66.57895,4448,5,9.933594,224.6602,170.9922,501.543,3
3241.605,428,65.80977,4448,15,9.933594,224.6602,169.5977,502.9375,3
3241.605,428,66.24041,4448,15,9.933594,224.6602,168.2422,504.293,3
3241.605,428,68.59296,4448,9,9.933594,224.6602,167.36719,505.168,3
3241.605,428,64.17526,4448,4,9.933594,224.6602,166.49219,506.043,3
3241.605,428,66.83417,4448,7,9.933594,224.6602,164.85156,507.6836,3
3241.605,428,65.54404,4448,11,9.933594,224.6602,164.16797,508.3672,3
3241.605,428,65.3944,4448,5,9.933594,224.6602,167.57031,504.9648,3
3241.605,428,64.35897,4448,15,9.941406,224.6602,169.2227,503.3125,3
3241.605,428,63.52041,4448,5,9.941406,224.6602,168.5391,503.9883,3
3241.605,428,65.73604,4416,14,9.941406,224.6602,168.3711,504.1562,3
3241.605,428,67.70026,4416,10,9.941406,224.6602,167.47656,505.0508,3
3241.605,428,62.84987,4416,3,9.949219,224.6602,167.5625,504.9648,3
3241.605,428,66.49746,4416,5,9.949219,224.6602,170.3242,502.1953,3
3241.605,428,67.17172,4416,11,9.949219,224.6602,168.4922,504.0273,3
3241.605,427,68.60759,4416,3,9.949219,224.6602,166.6875,505.832,3
3241.605,427,64.96164,4416,11,9.949219,224.6602,164.60938,507.9102,3
3241.605,427,68.68687,4416,12,9.949219,224.6602,167.75781,504.7617,3
3241.605,427,65.49118,4416,8,9.957031,224.6602,165.48828,507.0312,3
3241.605,427,63.29114,4448,9,9.957031,224.6523,169.3789,503.1406,3
3241.605,427,63.8404,4448,14,9.957031,224.6602,167.8086,504.7031,3
3241.605,427,58.70647,4448,10,9.957031,224.6602,171.2344,501.2773,3
3241.605,427,57.14286,4448,17,9.957031,224.6602,168.3906,504.1211,3
3241.605,427,56.31313,4448,10,9.957031,224.6602,171.3555,501.1562,3
3241.605,427,57.89474,4448,10,9.957031,224.6602,169.2344,503.2773,3
3241.605,427,67.60204,4448,11,9.957031,224.6602,167.40234,505.1094,3
3241.605,427,69.68912,4448,8,9.957031,224.6602,166.96484,505.5469,3
3241.605,427,70.07673,4448,5,9.957031,224.6602,165.40625,507.1055,3
3241.621,427,66.75192,4448,15,9.957031,224.6602,170.1953,502.3164,3
3241.605,427,65.47315,4448,10,9.957031,224.6602,167.68359,504.8281,3
3241.605,427,69.2112,4448,4,9.957031,224.6602,169.7578,502.7539,3
3241.605,427,66.75192,4448,6,9.957031,224.6602,167.8828,504.6289,3
3241.605,427,72.33503,4448,8,9.957031,224.6602,166.51562,505.9961,3
3241.605,427,67.00767,4448,9,9.957031,224.6602,164.90625,507.6055,3
3241.605,427,69.05371,4448,15,9.957031,224.6602,168.6055,503.9062,3
3241.605,427,68.28645,4448,17,9.957031,224.6602,167.25391,505.2578,3
3241.605,427,68.04124,4448,5,9.964844,224.6602,167.25391,505.2578,3
3241.605,427,65.13995,4448,10,9.964844,224.6602,166.81641,505.6875,3
3241.605,427,64.96164,4448,8,9.964844,224.6602,164.93359,507.5703,3
3241.605,427,69.05371,4448,9,9.964844,224.6602,164.25,508.2539,3
3241.605,427,66.32653,4448,8,9.964844,224.6602,163.375,509.1289,3
