face_landmarking_rpi_mem.committed_Committed_AS,face_landmarking_rpi_system.active_processes_active,face_landmarking_rpi_system.cpu_user,face_landmarking_rpi_system.file_nr_used_used,face_landmarking_rpi_system.processes_running,face_landmarking_rpi_system.ram_buffers,face_landmarking_rpi_system.ram_cached,face_landmarking_rpi_system.ram_free,face_landmarking_rpi_system.ram_used,Target
3230.188,418,66.75258,4352,5,2.566406,134.32812,177.668,592.5664,10
3230.172,418,60.61381,4352,10,2.566406,134.32812,182.4375,587.7969,10
3230.188,418,62.5,4352,5,2.566406,134.32812,179.7266,590.5078,10
3230.172,419,61.42132,4384,7,2.570312,134.32422,178.1133,592.1211,10
3230.172,419,60.56701,4384,5,2.570312,134.32812,179.75,590.4805,10
3230.172,419,64.10256,4384,8,2.570312,134.32812,178.6016,591.6289,10
3230.188,419,59.09091,4384,6,2.570312,134.32812,177.1172,593.1133,10
3230.172,419,66.14583,4384,5,2.570312,134.32812,179.668,590.5625,10
3230.172,419,59.54198,4384,6,2.570312,134.32812,182.0234,588.207,10
3230.172,419,60.92545,4384,4,2.570312,134.32812,183.3984,586.832,10
3230.172,419,57.21519,4384,3,2.570312,134.32812,180.6953,589.5352,10
3230.188,419,55.30303,4384,9,2.570312,134.32812,178.1289,592.1016,10
3230.172,419,61.73469,4384,6,2.570312,134.32812,176.3516,593.8789,10
3230.188,419,60.05089,4416,4,2.570312,134.32812,179.4141,590.8164,10
3230.172,419,58.67347,4416,8,2.585938,134.33594,177.7188,592.4883,10
3230.172,419,59.74359,4416,5,2.585938,134.33594,180.5977,589.6094,10
3230.172,419,61.38107,4416,5,2.585938,134.33594,179.125,591.082,10
3230.172,419,63.14433,4416,6,2.585938,134.33594,178.0312,592.1758,10
3230.188,419,64.70588,4416,8,2.585938,134.33594,181.0977,589.1094,10
3230.172,419,60.66838,4416,8,2.585938,134.33594,178.5312,591.6758,10
3230.172,419,61.1399,4416,8,2.585938,134.33594,176.2617,593.9453,10
3230.188,419,63.8191,4416,6,2.585938,134.33594,176.6992,593.5078,10
3230.188,419,59.23077,4416,4,2.585938,134.33594,174.168,596.0391,10
3230.188,419,59.32642,4416,12,2.585938,134.33594,181.082,589.125,10
3230.172,419,64.2132,4416,9,2.585938,134.33594,178.5117,591.6953,10
3230.172,419,61.08247,4416,8,2.585938,134.33594,177.6445,592.5625,10
3230.172,419,62.0155,4416,8,2.585938,134.33594,181.582,588.625,10
3230.172,419,58.52417,4416,7,2.585938,134.33594,183.3203,586.8867,10
3230.172,419,64.61538,4416,6,2.585938,134.33594,181.7891,588.418,10
3230.172,419,61.95373,4416,9,2.585938,134.33594,180.1484,590.0586,10
3230.172,419,63.73057,4416,10,2.585938,134.33594,183.4141,586.793,10
3230.188,419,65.80977,4416,8,2.585938,134.33594,180.8984,589.3086,10
3230.188,419,60.31332,4416,14,2.585938,134.33594,178.6016,591.6055,10
3230.172,419,60.71429,4416,5,2.585938,134.33594,181.3164,588.8906,10
3230.188,419,60.25974,4416,4,2.585938,134.33594,179.4844,590.7227,10
3230.188,419,67.51918,4416,6,2.585938,134.33594,182.9883,587.2188,10
3230.188,419,55.30303,4416,7,2.585938,134.33594,181.4648,588.7422,10
3230.188,419,62.8866,4416,9,2.585938,134.33594,183.0938,587.1133,10
3230.172,419,61.92893,4416,8,2.585938,134.33594,181.9453,588.2617,10
3230.188,419,57.54476,4416,6,2.585938,134.33594,178.9141,591.293,10
3230.172,419,58.75,4416,7,2.585938,134.33594,176.6602,593.5469,10
3230.172,419,56.2341,4416,7,2.585938,134.33594,184.1992,586.0078,10
3230.188,419,59.03308,4416,6,2.585938,134.33594,180.1953,590.0117,10
3230.172,419,64.2487,4416,6,2.585938,134.33594,182.9453,587.2617,10
3230.188,419,59.48718,4416,3,2.585938,134.33594,180.6523,589.5547,10
3230.172,419,59.54198,4416,4,2.59375,134.32812,179.0977,591.1094,10
3230.172,419,67.09184,4384,9,2.59375,134.33594,178.9297,591.2695,10
3230.188,419,64.96164,4384,6,2.59375,136.32031,175.4375,592.7773,10
3229.988,419,58.71795,4384,7,2.59375,136.32031,175.0352,593.1797,10
3229.973,420,62.6943,4384,8,2.59375,136.32031,173.4766,594.7383,10
3230.188,420,64.89899,4384,6,2.59375,136.32031,176.2812,591.9336,10
3230.188,420,59.59079,4384,5,2.59375,136.32031,174.7539,593.4609,10
3230.188,420,67.01031,4384,5,2.59375,136.32031,173.5,594.7148,10
3229.973,420,61.81818,4384,4,2.59375,136.41797,173.8672,594.25,10
3230.035,420,64.2487,4384,9,2.59375,139.37109,176.4219,588.7422,10
3230.035,420,64.2487,4384,6,2.59375,139.37109,174.2617,590.9023,10
3230.035,420,63.0491,4384,3,2.59375,139.37109,172.0508,593.1133,10
3230.035,420,62.5323,4384,14,2.59375,139.37109,173.0586,592.1055,10
3230.035,419,59.94832,4384,10,2.597656,139.37109,177.168,587.9922,10
3230.035,419,60.82474,4384,7,2.597656,139.37109,178.4844,586.6758,10
3234.785,422,55.61224,4384,10,0.953125,125.73438,175.4961,604.9453,10
3234.785,422,60.30534,4384,3,0.953125,125.74219,177.6328,602.8008,10
3234.785,422,11.450382,4384,2,0.9570312,125.74219,172.9648,607.4648,10
3234.996,423,1.758794,4384,2,0.8007812,125.53125,174.1523,606.6445,10
3206.211,423,6.615776,4384,2,0.7851562,125.40625,205.7812,575.1562,10
3213.797,422,50.51282,4352,5,0.8945312,127.0,189.543,589.6914,10
3210.309,422,56.55527,4352,7,0.9257812,126.96875,181.5469,597.6875,10
3200.043,422,60.61381,4352,7,0.9257812,127.78125,183.9141,594.5078,10
3200.043,422,56.07235,4352,4,0.9257812,127.85938,174.4023,603.9414,10
3200.859,422,61.12532,4352,9,0.9257812,128.07422,162.26172,615.8672,10
3192.988,422,59.43878,4352,9,0.921875,124.94531,167.55078,613.7109,10
3193.004,422,65.02591,4352,5,0.921875,125.13281,159.95703,621.1172,10
3203.43,422,64.45013,4352,6,0.921875,125.13281,143.44922,637.625,10
3203.445,422,60.05155,4352,3,0.921875,125.13672,141.71094,639.3594,10
3195.43,422,60.25316,4352,4,0.9296875,125.13672,151.83594,629.2266,10
3195.43,422,56.70103,4352,3,0.9296875,125.13672,153.19531,627.8672,10
3195.414,422,61.16751,4352,10,0.9296875,125.13672,150.65234,630.4102,10
3195.414,422,61.31579,4352,4,0.9296875,125.13672,149.07812,631.9844,10
3195.414,422,61.26582,4352,10,0.9296875,125.13672,152.30859,628.7539,10
3195.43,422,57.14286,4352,3,0.9296875,125.13672,150.51172,630.5508,10
3195.414,422,59.84655,4352,5,0.9296875,125.13672,151.78906,629.2734,10
3195.414,422,56.15385,4352,9,0.9296875,125.13672,150.17578,630.8867,10
3195.613,422,60.41131,4352,6,0.9296875,125.13672,149.08203,631.9805,10
3196.164,422,55.44304,4352,5,0.9296875,125.13672,147.45703,633.6055,10
3196.246,422,58.24742,4352,3,0.9296875,125.13672,148.04688,633.0156,10
3196.266,422,57.39796,4352,3,0.9296875,125.13672,150.83594,630.2266,10
3196.266,422,55.10204,4352,4,0.9296875,125.13672,152.26562,628.7969,10
3196.266,422,56.03015,4352,3,0.9296875,125.13672,149.19922,631.8633,10
3196.266,422,56.26598,4352,9,0.9296875,125.15234,152.66797,628.3789,10
3196.25,422,59.33504,4352,7,0.9296875,125.15234,149.41406,631.6328,10
3196.25,422,61.79487,4352,4,0.9296875,125.15234,147.85938,633.1875,10
3196.25,422,59.84655,4320,7,0.9296875,125.15234,146.10547,634.9414,10
3196.266,422,61.0687,4320,6,0.9296875,125.15234,147.28125,633.7656,10
3196.266,422,62.95337,4320,5,0.9296875,125.15234,145.53125,635.5156,10
