object_detection_rpi_mem.committed_Committed_AS,object_detection_rpi_system.active_processes_active,object_detection_rpi_system.cpu_user,object_detection_rpi_system.file_nr_used_used,object_detection_rpi_system.processes_running,object_detection_rpi_system.ram_buffers,object_detection_rpi_system.ram_cached,object_detection_rpi_system.ram_free,object_detection_rpi_system.ram_used,Target
3116.031,426,61.03896,4320,12,2.339844,240.8359,167.09766,496.8555,0
3116.031,427,60.76923,4320,6,2.339844,240.8359,163.39844,500.5547,0
3116.031,427,59.58549,4320,9,2.339844,240.8359,162.27734,501.6758,0
3116.031,427,61.2987,4320,5,2.339844,240.8359,161.15625,502.7969,0
3116.031,427,62.37113,4320,10,2.339844,240.8359,160.71875,503.2344,0
3116.031,427,62.07792,4320,9,2.339844,240.8359,159.05078,504.9023,0
3116.047,427,61.22449,4320,12,2.339844,240.8359,158.14844,505.8047,0
3116.031,427,62.78481,4320,4,2.339844,240.1523,163.25,501.3867,0
3116.031,427,61.86869,4288,6,2.339844,240.0859,161.66016,503.043,0
3116.031,427,60.20408,4288,6,2.339844,240.0859,164.22656,500.4766,0
3116.031,427,61.26582,4288,10,2.339844,240.0859,166.65234,498.0508,0
3116.031,427,57.94872,4288,6,2.339844,240.0859,164.5625,500.1406,0
3116.031,427,62.0603,4288,5,2.339844,240.0859,168.0703,496.6328,0
3116.031,427,60.30534,4288,8,2.339844,240.4727,166.86719,497.4492,0
3116.031,427,60.30151,4288,13,2.339844,240.4727,165.69531,498.6211,0
3116.031,427,61.53846,4288,9,2.339844,240.4727,164.08203,500.2344,0
3116.031,427,63.72796,4288,15,2.339844,240.4727,162.27734,502.0391,0
3116.031,427,60.4534,4320,9,2.339844,240.4727,162.11719,502.1992,0
3116.031,427,60.85859,4320,17,2.347656,240.4727,164.74219,499.5664,0
3116.031,427,59.64912,4320,9,2.347656,240.4727,161.95312,502.3555,0
3116.031,427,61.0,4320,15,2.347656,240.4727,161.29688,503.0117,0
3116.031,427,60.90226,4320,5,2.347656,240.4727,160.85938,503.4492,0
3116.031,427,59.10224,4320,9,2.347656,240.4727,159.95703,504.3516,0
3116.031,427,56.3591,4320,14,2.347656,240.4727,159.19531,505.1133,0
3116.031,427,49.01961,4320,11,2.355469,240.4727,158.37109,505.9297,0
3116.031,427,46.5,4320,9,2.355469,219.0898,183.7617,501.9219,0
3116.031,427,55.97964,4320,10,2.355469,219.0898,187.5156,498.168,0
3116.031,427,59.53608,4320,11,2.355469,219.0898,185.207,500.4766,0
3116.031,427,59.32642,4320,10,2.355469,219.0898,184.9883,500.6953,0
3116.031,427,62.07792,4320,7,2.355469,219.0898,189.0039,496.6797,0
3116.031,427,62.05128,4320,16,2.355469,219.0898,186.6523,499.0312,0
3116.031,427,57.80051,4320,10,2.355469,219.0898,185.5039,500.1797,0
3116.031,427,57.78364,4320,8,2.355469,219.0898,185.5547,500.1289,0
3116.031,427,56.84755,4320,14,2.355469,219.0898,184.875,500.8086,0
3116.031,427,60.4712,4320,9,2.355469,219.0898,183.0312,502.6523,0
3116.031,427,63.68286,4320,10,2.355469,219.0898,182.0742,503.6094,0
3116.031,427,58.61183,4320,8,2.355469,219.0938,180.9805,504.6992,0
3116.031,427,61.57761,4320,13,2.355469,219.0938,180.1055,505.5742,0
3116.031,426,60.82474,4320,9,2.355469,219.0938,179.4492,506.2305,0
3116.031,426,58.92857,4320,8,2.355469,219.0938,179.5234,506.1562,0
3116.031,426,61.0687,4320,10,2.355469,219.0938,179.8242,505.8555,0
3116.031,426,62.8866,4320,7,2.355469,219.0938,190.082,495.5977,0
3116.031,426,62.37374,4320,9,2.363281,219.0938,187.0391,498.6328,0
3116.031,426,63.70558,4320,8,2.363281,219.0938,185.4414,500.2305,0
3116.031,426,62.02532,4320,9,2.363281,219.0938,184.293,501.3789,0
3116.031,426,62.94416,4320,8,2.363281,219.0938,187.6016,498.0703,0
3116.031,426,63.10433,4320,8,2.363281,219.0938,185.5117,500.1602,0
3116.031,426,58.94207,4320,9,2.363281,219.0938,184.6094,501.0625,0
3116.031,426,60.81425,4320,14,2.363281,219.0938,183.9531,501.7188,0
3116.031,426,61.16751,4320,9,2.363281,219.0938,183.2695,502.4023,0
3116.031,426,64.1604,4320,8,2.363281,219.0938,182.832,502.8398,0
3116.031,426,63.0,4320,11,2.363281,219.0938,181.9297,503.7422,0
3116.031,426,58.2716,4320,8,2.363281,219.0938,180.5664,505.1055,0
3116.031,426,55.66502,4320,7,2.363281,219.0938,179.6367,506.0352,0
3116.031,425,52.61845,4320,15,2.363281,219.0938,183.2031,502.4688,0
3116.031,425,52.23881,4320,10,2.363281,219.0938,181.6719,504.0,0
3116.031,425,51.93798,4320,8,2.363281,219.0938,189.7188,495.9531,0
3116.031,425,65.02591,4320,9,2.363281,219.0938,186.7031,498.9688,0
3116.031,425,61.67979,4352,9,2.363281,219.0938,185.9922,499.6797,0
3116.031,425,61.2987,4352,5,2.371094,219.0938,185.3086,500.3555,0
3116.031,425,57.289,4352,8,2.371094,219.0938,185.0898,500.5742,0
3116.031,425,62.82723,4352,13,2.371094,219.0938,183.6836,501.9805,0
3116.031,425,66.23711,4352,4,2.371094,219.0938,182.7812,502.8828,0
3116.031,425,60.82474,4352,5,2.371094,219.0938,181.6328,504.0312,0
3116.031,425,61.9898,4352,4,2.371094,219.0938,180.2656,505.3984,0
3116.031,425,57.8534,4352,9,2.371094,219.0938,184.8945,500.7695,0
3116.031,425,64.69072,4352,11,2.371094,219.0938,187.4531,498.2109,0
3116.031,425,64.0625,4352,11,2.371094,219.0938,184.9258,500.7383,0
3116.031,425,59.84655,4352,10,2.371094,219.0938,183.0938,502.5703,0
3116.031,425,62.69036,4352,4,2.511719,219.0938,182.0,503.5234,0
3116.031,425,63.07692,4352,3,2.511719,219.0938,179.168,506.3555,0
3116.031,425,62.5,4352,8,2.511719,219.0938,178.2656,507.2578,0
3116.031,425,64.28571,4352,8,2.511719,219.0938,177.3633,508.1602,0
3116.031,425,64.45013,4352,7,2.511719,219.0938,176.8984,508.625,0
3116.031,425,60.91371,4352,3,2.511719,219.0938,180.7695,504.7539,0
3116.031,425,60.40609,4352,6,2.519531,219.0938,178.9531,506.5625,0
3116.031,425,61.42132,4352,7,2.519531,219.0938,176.6562,508.8594,0
3116.031,425,62.59542,4352,3,2.519531,219.0938,179.8945,505.6211,0
3116.031,425,64.72081,4352,3,2.519531,219.0938,178.2812,507.2344,0
3116.031,425,63.40852,4352,3,2.519531,219.0938,176.668,508.8477,0
3116.031,425,61.0,4352,7,2.519531,219.0938,180.8086,504.707,0
3116.031,425,61.53846,4352,9,2.519531,219.0938,178.7422,506.7734,0
3116.031,425,62.68657,4352,4,2.519531,219.0938,180.5547,504.9609,0
3116.031,425,56.10973,4352,5,2.519531,219.0938,178.75,506.7656,0
3116.031,425,55.3616,4352,3,2.519531,219.0938,181.6797,503.8359,0
3116.031,425,45.54455,4320,4,2.519531,219.0938,186.1953,499.3203,0
3116.031,425,47.05882,4320,7,2.519531,219.0938,181.9844,503.5312,0
3116.031,425,62.8866,4320,5,2.519531,219.0938,181.3008,504.2148,0
3116.031,425,59.02062,4320,10,2.519531,219.0938,179.2461,506.2695,0
3116.031,425,64.41558,4320,4,2.519531,219.0938,178.8633,506.6523,0
3116.031,425,61.34021,4320,5,2.519531,219.0938,176.8125,508.7031,0
3116.031,425,62.62887,4320,7,2.519531,219.0938,184.5859,500.9297,0
3116.031,425,61.59794,4320,10,2.519531,219.0938,181.8438,503.6719,0
3116.031,425,61.47959,4320,4,2.519531,219.0938,181.1875,504.3281,0
3116.031,425,60.62176,4320,5,2.519531,219.0938,183.5039,502.0117,0
3116.031,425,60.41667,4320,9,2.519531,219.0938,179.8945,505.6211,0
3116.031,425,60.62176,4320,4,2.519531,219.0938,179.4688,506.0469,0
3116.031,425,64.69072,4320,7,2.519531,219.0938,177.6914,507.8242,0
3116.031,425,64.63104,4320,10,2.519531,219.0938,185.6562,499.8594,0
3116.031,425,62.7907,4320,8,2.519531,219.0938,184.0469,501.4688,0
3116.031,425,59.28753,4320,5,2.519531,219.0938,182.7383,502.7773,0
3116.031,425,62.9156,4320,11,2.527344,219.0859,179.1016,506.4141,0
3116.031,425,61.42132,4320,4,2.527344,219.0938,177.8984,507.6094,0
3116.031,425,61.92893,4320,4,2.527344,219.0938,182.3711,503.1367,0
3116.031,425,63.45178,4320,3,2.527344,219.0938,181.2773,504.2305,0
3116.031,425,61.26582,4320,15,2.527344,219.0938,184.1836,501.3242,0
3116.031,425,63.95939,4320,5,2.527344,219.0938,183.2266,502.2812,0
3116.031,425,60.91371,4320,5,2.527344,219.0938,181.8594,503.6484,0
3116.031,425,64.05063,4320,5,2.527344,219.0938,180.4922,505.0156,0
3116.031,425,64.2132,4320,7,2.527344,219.0938,180.082,505.4258,0
3116.031,425,60.65163,4320,11,2.527344,219.0938,178.6875,506.8203,0
3116.031,425,58.25,4320,4,2.527344,219.0938,177.9805,507.5273,0
